"SYMBOL"	"X.6."	"X.7."	"X.8."	"X.9."	"X.10."	"X.11."	"X.12."	"X.13."	"X.14."	"X.15."
"1"	"PCDHA1"	"0.473535135135135"	"0.149732432432432"	"0.277408108108108"	"0.255840540540541"	"0.240008108108108"	"0.377281081081081"	"0.417043243243243"	"0.401635135135135"	"0.413697297297297"	"0.428654054054054"
"8"	"PCDHA10"	"0.50949"	"0.17052"	"0.31276"	"0.27423"	"0.25639"	"0.40966"	"0.44066"	"0.43113"	"0.44496"	"0.45542"
"18"	"PCDHA11"	"0.55096"	"0.10676"	"0.26954"	"0.26394"	"0.27622"	"0.3975"	"0.47592"	"0.44876"	"0.45604"	"0.47522"
"23"	"PCDHA12"	"0.44335"	"0.128516666666667"	"0.230466666666667"	"0.258666666666667"	"0.2271"	"0.341783333333333"	"0.400333333333333"	"0.389116666666667"	"0.381933333333333"	"0.398733333333333"
"29"	"PCDHA13"	"0.376711111111111"	"0.157844444444444"	"0.255333333333333"	"0.229877777777778"	"0.200111111111111"	"0.322555555555555"	"0.340422222222222"	"0.332188888888889"	"0.3415"	"0.357822222222222"
"38"	"PCDHA2"	"0.591828571428571"	"0.1978"	"0.380357142857143"	"0.397885714285714"	"0.340885714285714"	"0.452142857142857"	"0.516814285714286"	"0.498442857142857"	"0.503614285714286"	"0.529185714285714"
"45"	"PCDHA3"	"0.560816666666667"	"0.225"	"0.40095"	"0.39315"	"0.396916666666667"	"0.433516666666667"	"0.494083333333333"	"0.477783333333333"	"0.490083333333333"	"0.498016666666667"
"51"	"PCDHA4"	"0.497344444444444"	"0.145788888888889"	"0.347455555555556"	"0.319233333333333"	"0.365955555555555"	"0.409444444444444"	"0.4533"	"0.419333333333333"	"0.428744444444444"	"0.454244444444445"
"60"	"PCDHA5"	"0.6161"	"0.1582"	"0.435525"	"0.417925"	"0.40385"	"0.4516"	"0.521975"	"0.47675"	"0.5101"	"0.52725"
"64"	"PCDHA6"	"0.455011111111111"	"0.153011111111111"	"0.258166666666667"	"0.241511111111111"	"0.228288888888889"	"0.334511111111111"	"0.385777777777778"	"0.3645"	"0.363077777777778"	"0.385833333333333"
"73"	"PCDHA7"	"0.497566666666667"	"0.146483333333333"	"0.266"	"0.27755"	"0.252533333333333"	"0.342833333333333"	"0.422933333333333"	"0.37675"	"0.39545"	"0.416816666666667"
"79"	"PCDHA8"	"0.594627272727273"	"0.183490909090909"	"0.365590909090909"	"0.326236363636364"	"0.335245454545455"	"0.4408"	"0.517754545454545"	"0.477127272727273"	"0.502636363636364"	"0.530972727272727"
"90"	"PCDHA9"	"0.659166666666667"	"0.157333333333333"	"0.402566666666667"	"0.391466666666667"	"0.368266666666667"	"0.486466666666667"	"0.566166666666667"	"0.524766666666667"	"0.562"	"0.583566666666667"
"93"	"PCDHAC1"	"0.143453846153846"	"0.0996"	"0.122492307692308"	"0.126215384615385"	"0.136946153846154"	"0.132138461538462"	"0.133330769230769"	"0.131492307692308"	"0.128976923076923"	"0.142223076923077"
"106"	"PCDHAC2"	"0.177673684210526"	"0.193063157894737"	"0.163868421052632"	"0.154315789473684"	"0.154336842105263"	"0.187678947368421"	"0.197378947368421"	"0.185726315789474"	"0.187921052631579"	"0.204657894736842"
"125"	"PCDHB1"	"0.432407407407407"	"0.128476851851852"	"0.222657407407407"	"0.207259259259259"	"0.191390740740741"	"0.327114814814815"	"0.356134259259259"	"0.334639814814815"	"0.37425462962963"	"0.364814814814815"
"135"	"PCDHB10"	"0.250766666666667"	"0.07055"	"0.150316666666667"	"0.138783333333333"	"0.1197"	"0.209083333333333"	"0.2224"	"0.206366666666667"	"0.233066666666667"	"0.23"
"141"	"PCDHB11"	"0.495818181818182"	"0.179463636363636"	"0.274909090909091"	"0.256309090909091"	"0.222581818181818"	"0.398945454545455"	"0.421827272727273"	"0.391218181818182"	"0.484536363636364"	"0.444881818181818"
